partsNum,partsBrandName,productId
A 166 830 02 18,Mercedes-Benz,2215462975772205059
A 274 200 01 15,Mercedes-Benz,2215513094332784643
A 270 180 01 09,Mercedes-Benz,2215511955910598659
A 169 540 16 17,Mercedes-Benz,2215465732667252739
A 205 835 01 47,Mercedes-Benz,2215477420518973443
A 211 540 17 17,Mercedes-Benz,2215484378793811971
A 276 094 05 04,Mercedes-Benz,2215513564560400387
A 270 159 07 00,Mercedes-Benz,2215511953322713091
A 246 540 25 10,Mercedes-Benz,2215505261298098179
A 270 159 06 00,Mercedes-Benz,2215511952660013059
A 001 982 82 08,Mercedes-Benz,2215454400727392259
A 000 159 05 00,Mercedes-Benz,2215451854096998403
A 001 982 73 08,Mercedes-Benz,2215454397745242115
A 276 180 00 09,Mercedes-Benz,2215513661046169603
N 000000 004039,Mercedes-Benz,2215518645137612803
A 210 501 06 15,Mercedes-Benz,2215482507484110851
A 016 997 50 45,Mercedes-Benz,2215455631113887747
A 212 240 04 18,Mercedes-Benz,2215486031798378499
A 274 094 01 04,Mercedes-Benz,2215513035931295747
A 204 240 42 17,Mercedes-Benz,2215470895222136835
A 270 200 06 15,Mercedes-Benz,2215511979465809923
A 007 420 77 20,Mercedes-Benz,2215455428021493763
A 000 982 96 08,Mercedes-Benz,2215453996694282243
A 166 240 58 17,Mercedes-Benz,2215461475264143363
A 276 050 36 00,Mercedes-Benz,2215513484352724995
A 166 240 59 17,Mercedes-Benz,2215461475796819971
A 272 184 02 80,Mercedes-Benz,2215512610150719491
A 000 420 31 05,Mercedes-Benz,2215451991460454403
A 272 184 00 80,Mercedes-Benz,2215512608905011203
A 166 320 03 25,Mercedes-Benz,2215461506759172099
A 272 200 02 70,Mercedes-Benz,2215512617457197059
A 000 421 25 12,Mercedes-Benz,2215452092027281411
A 212 320 03 58,Mercedes-Benz,2215486112521953283
A 205 330 45 07,Mercedes-Benz,2215475098615193603
A 000 420 88 04,Mercedes-Benz,2215452045466312707
A 264 094 02 00,Mercedes-Benz,2215511560870076419
A 000 180 26 09,Mercedes-Benz,2215451861659328515
A 212 830 03 18,Mercedes-Benz,2215488007990845443
A 164 540 10 17,Mercedes-Benz,2215459773509181443
A 000 420 98 05,Mercedes-Benz,2215452062692319235
A 276 200 03 70,Mercedes-Benz,2215513685830311939
A 099 500 13 03,Mercedes-Benz,2215456011570814979
A 273 094 09 48,Mercedes-Benz,2215512735585574915
A 253 240 03 00,Mercedes-Benz,2215508566988464131
A 212 240 72 17,Mercedes-Benz,2215486056293113859
A 222 421 51 00,Mercedes-Benz,2215500906419363843
A 204 500 07 49,Mercedes-Benz,2215471796875862019
A 273 094 04 04,Mercedes-Benz,2215512733324845059
A 212 320 11 89,Mercedes-Benz,2215486121644564483
A 271 200 03 15,Mercedes-Benz,2215512323524567043
A 271 016 12 21,Mercedes-Benz,2215512099120914435
A 166 330 01 43,Mercedes-Benz,2215461591547027459
A 274 202 00 19,Mercedes-Benz,2215513141917163523
A 253 240 02 00,Mercedes-Benz,2215508566384484355
A 212 320 12 89,Mercedes-Benz,2215486122214989827
A 274 200 06 15,Mercedes-Benz,2215513106110390275
A 000 421 28 12,Mercedes-Benz,2215452094938128387
